Date,Description,Amount,Schedule C Category
10-01-21,Check 2247,-775,Paid Checks
10-04-21,Deposit,900,Business Income
10-04-21,Deposit,624.75,Business Income
10-04-21,Transfer Deposit Loan proceeds,1960.42,Business Income
10-04-21,ACH Square Inc 211004 P2,250.35,Business Income
10-04-21,Debit Card FLAMINGO BINGO PARIS T #4349,-160,Owners Draw
10-04-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-17.96,Business Supplies
10-04-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-47.04,Business Supplies
10-04-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.3,Business Supplies
10-04-21,Debit Card O'REILLY AUTO P SULPHUR SPRI NT #4349,-42.89,COGS:Materials & Supplies
10-04-21,Debit Card CEFCO #1102 PARI PARIS T #4349,-19.85,Vehicle Expenses:Fuel
10-04-21,Debit Card DOLLARTRE 810 GI SULPHUR SPRI NT #0759,-9.74,Business Supplies
10-04-21,Debit Card NOYO INC SULPHUR SPRI NT #4349,-20.35,Business Supplies
10-04-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-18.66,Business Supplies
10-04-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-8.14,Business Supplies
10-04-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-17.8,Business Supplies
10-04-21,Debit Card TOKYO EXPRESS IN PARIS T #4349,-43.73,Meals
10-04-21,Debit Card COLLEGE PAY AMARILLO T #4349,-1,Owners Draw
10-04-21,Debit Card COLLEGE PAY AMARILLO T #4349,-21,Owners Draw
10-04-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-6.26,Meals
10-04-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-100,Owners Draw
10-04-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-4.84,COGS:Materials & Supplies
10-04-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-10.29,COGS:Materials & Supplies
10-04-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #0759,-6.84,Meals
10-04-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-44.04,COGS:Materials & Supplies
10-04-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-12.99,COGS:Materials & Supplies
10-04-21,Debit Card DOORDASH*MCDONAL SAN FRANCISC OC #4349,-24.66,Meals
10-04-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #0759,-11.73,Meals
10-04-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-100,Owners Draw
10-04-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-275,Owners Draw
10-04-21,Debit Card DOORDASH*MCDONAL SAN FRANCISC OC #4349,-22.91,Meals
10-04-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-100,Owners Draw
10-04-21,Debit Card SQ *GRANNY'S DON Sulphur Spri nT #0759,-26,Meals
10-04-21,Debit Card 159 BRAUMS STORE SULPHUR SPRI NT #4349,-18.48,Owners Draw
10-04-21,Debit Card DAIRY QUEEN - 44 SULPHUR SPRI NT #0759,-29.94,Meals
10-04-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-9.39,Meals
10-04-21,Debit Card AMAZON.COM*2C3JP SEATTLE W #4349,-10.82,Business Supplies
10-04-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-10.81,Financial Fees:Payment Processing
10-04-21,Debit Card DOORDASH*MCDONAL SAN FRANCISC OC #4349,-13.11,Meals
10-04-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-6.26,Meals
10-04-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-100,Owners Draw
10-04-21,Debit RCR VZWRLSS*BILL PAY 800-922-0204 F #4349,-160,Utilities:Phone
10-04-21,ACH ENGIE RESOURCES ACH,-328.56,Utilities:Gas
10-04-21,Cash Roundup Transfer,-11.17,Miscellaneous Expenses
10-04-21,Check 2950,-2305.89,Paid Checks
10-05-21,ACH AUTO RENTALS INC ACH PAYMNT IV1404-A 4129696 000000000005400000000000005400000000000000000,663.2,Other Business Income
10-05-21,ACH Square Inc 211005 P2,278.37,Business Income
10-05-21,Debit Card Rev NAPA SULPHUR SPR SULPHUR SPRI NT #4349,95,COGS:Materials & Supplies
10-05-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-20.38,Business Supplies
10-05-21,Debit Card WM SUPERCENTER # SULPHUR SPRI NT #0759,-119,Business Supplies
10-05-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-18.66,Business Supplies
10-05-21,Debit Card PAYPAL *DOMINO'S 4029357733 N #4349,-48,Financial Fees:Payment Processing
10-05-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-164.99,COGS:Materials & Supplies
10-05-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-6.99,COGS:Materials & Supplies
10-05-21,Debit Card DOORDASH*MCDONAL SAN FRANCISC OC #4349,-13.11,Meals
10-05-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-79.79,COGS:Materials & Supplies
10-05-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-162.89,COGS:Materials & Supplies
10-05-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-102.68,COGS:Materials & Supplies
10-05-21,Debit Card CHILI'S SULPHUR SULPHUR SPRI NT #4349,-39.18,Meals
10-05-21,Debit Card CLASSIC LANES SULPHUR SPRI NT #4349,-100,Owners Draw
10-05-21,Debit Card SQ *GRANNY'S DON Sulphur Spri nT #0759,-6.06,Meals
10-05-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-6.26,Meals
10-05-21,ACH 86301 CHESAPEAKE PAYMENT INSURANCE,-115,Business Insurance
10-05-21,ACH AMEX EPAYMENT ACH PMT ER AM,-100,Business Insurance
10-05-21,ACH WEX INC FLEET DEBI,-148.13,Vehicle Expenses:Fuel
10-05-21,Cash Roundup Transfer,-5.01,Miscellaneous Expenses
10-05-21,Check 2959,-800,Paid Checks
10-05-21,Check 2954,-400,Paid Checks
10-05-21,Check 2957,-700,Paid Checks
10-06-21,ACH Square Inc 211006 P2,1133,Business Income
10-06-21,Debit Card Rev NAPA SULPHUR SPR SULPHUR SPRI NT #4349,158.13,COGS:Materials & Supplies
10-06-21,Debit Card TACO BELL 009540 SULPHUR SPRI NT #0759,-10.78,Meals
10-06-21,Debit Card JUAN PABLOS MEX SULPHUR SPRI NT #4349,-54.88,Meals
10-06-21,ACH LTG TEXARKANA T PURCHASF TELECHK 800-697-926 CK 2952,-8045.97,Repairs & Maintenance:Equipment
10-06-21,ACH AM INCOME LIFE INS.PREM 800-433-3405,-22.98,Owners Draw
10-06-21,"Overdraft Charge 2952 8,045.97",-29,Financial Fees:Bank Charges
10-06-21,Check 2955,-250,Paid Checks
10-06-21,Check 2956,-50,Paid Checks
10-07-21,Deposit,2200,Business Income
10-07-21,Deposit,3405,Business Income
10-07-21,Debit Card Rev Guaranty Pay Gua Mount Pleasa nT #4349,60,Business Income
10-07-21,ACH AM INCOME LIFE INS.PREMF800-433-3405,-76.53,Owners Draw
10-07-21,Overdraft Charge 2956 50.00,-29,Financial Fees:Bank Charges
10-07-21,Overdraft Charge 2955 250.00,-29,Financial Fees:Bank Charges
10-07-21,"Overdraft Charge 2958 1,000.00",-29,Financial Fees:Bank Charges
10-07-21,Overdraft Charge 0 22.98,-29,Financial Fees:Bank Charges
10-07-21,Overdraft Charge 0 76.53,-29,Financial Fees:Bank Charges
10-07-21,2958,-1000,Owners Draw
10-08-21,Deposit,8764.75,Business Income
10-08-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-36.74,Business Supplies
10-08-21,Debit Card Sulphur S Sulphu Sulphur Spri nT #4349,-85.17,Business Supplies
10-08-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-8.12,Business Supplies
10-08-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-50.95,Business Supplies
10-08-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-18.54,Business Supplies
10-08-21,Debit Card PLAYSTATION NETW 800-345-7669 C #4349,-16.22,Owners Draw
10-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-26.97,COGS:Materials & Supplies
10-08-21,Debit Card DOORDASH*MCDONAL SAN FRANCISC OC #4349,-24.66,Meals
10-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-30.14,COGS:Materials & Supplies
10-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-126.47,COGS:Materials & Supplies
10-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-87.98,COGS:Materials & Supplies
10-08-21,Debit Card BURGERS & FRIES SULPHUR SPRI NT #0759,-29.5,Meals
10-08-21,Debit Card INSTACART SAN FRANCISC OC #4349,-288.49,Owners Draw
10-08-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-100,Owners Draw
10-08-21,IB INTERNET TRANSFER TO ACCOUNT *1628,-1400,Account Transfers
10-08-21,IB INTERNET TRANSFER TO ACCOUNT *3929,-925,Account Transfers
10-08-21,ACH LTG TEXARKANA T PURCHASE TELECHK 800-697-926 CK 2960,-49.07,Repairs & Maintenance:Equipment
10-08-21,Cash Roundup Transfer,-6.05,Miscellaneous Expenses
10-12-21,Deposit,1800,Business Income
10-12-21,Deposit,701.3,Business Income
10-12-21,Deposit,750,Business Income
10-12-21,ACH Square Inc 211011 P2,183.55,Business Income
10-12-21,ATM Withdrawal 919 GILMER ST SULPHUR SPRI NT #0759,-100,Owners Draw
10-12-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
10-12-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
10-12-21,ATM Withdrawal 4418 SOUTH HIGHWAY DURANT O #4349,-1004.5,Owners Draw
10-12-21,ATM Withdrawal 919 GILMER ST SULPHUR SPRI NT #0759,-100,Owners Draw
10-12-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-47.98,Business Supplies
10-12-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-32.15,Business Supplies
10-12-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-8.57,Business Supplies
10-12-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-90,Business Supplies
10-12-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-24.49,Business Supplies
10-12-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-32.15,Business Supplies
10-12-21,Debit Card JOE BOBS #2 SULPHUR SPRI NT #4349,-52.01,Vehicle Expenses:Fuel
10-12-21,Debit Card CIRCLE E WESTERN SULPHUR SPRI NT #4349,-16.23,Business Supplies
10-12-21,Debit Card BillMatrix Chicago I #4349,-180.46,Utilities:Phone
10-12-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-8.57,Business Supplies
10-12-21,Debit Card MAC TOOLS - GILM GILMER T #4349,-150,COGS:Materials & Supplies
10-12-21,Debit Card COLLEGE PAY AMARILLO T #4349,-1,Owners Draw
10-12-21,Debit Card COLLEGE PAY AMARILLO T #4349,-21,Owners Draw
10-12-21,Debit Card MAC TOOLS - GILM GILMER T #4349,-50,COGS:Materials & Supplies
10-12-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-134.6,COGS:Materials & Supplies
10-12-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-10.81,Financial Fees:Payment Processing
10-12-21,Debit Card AMAZON.COM*273U5 SEATTLE W #4349,-125.56,Business Supplies
10-12-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-15.59,COGS:Materials & Supplies
10-12-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-41.99,COGS:Materials & Supplies
10-12-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-131.59,COGS:Materials & Supplies
10-12-21,Debit Card DAIRY QUEEN - 44 SULPHUR SPRI NT #0759,-21.17,Meals
10-12-21,Debit Card DAT SOLUTIONS 80 800-3285302 O #4349,-106.55,Office Expenses:Software
10-12-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-100,Owners Draw
10-12-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-200,Owners Draw
10-12-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-75,Owners Draw
10-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-6.26,Meals
10-12-21,Debit Card DOORDASH*MCDONAL SAN FRANCISC OC #4349,-13.11,Meals
10-12-21,Debit Card DOORDASH*MCDONAL SAN FRANCISC OC #4349,-13.11,Meals
10-12-21,Debit Card DOORDASH*MCDONAL SAN FRANCISC OC #4349,-13.11,Meals
10-12-21,Debit Card DOORDASH*MCDONAL SAN FRANCISC OC #4349,-13.11,Meals
10-12-21,Debit Card DOORDASH*MCDONAL SAN FRANCISC OC #4349,-14.11,Meals
10-12-21,Debit Card CN GRANT FOOD & GRANT O #4349,-30,Meals
10-12-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-3.24,Financial Fees:Payment Processing
10-12-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-5.4,Financial Fees:Payment Processing
10-12-21,Debit Card Kindle Unltd*271 866-321-8851 W #4349,-10.81,Dues and Subscription
10-12-21,Debit Card PAYPAL *ADAMEVEC 8007652326 N #4349,-77.9,Financial Fees:Payment Processing
10-12-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-3.24,Financial Fees:Payment Processing
10-12-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-160,Owners Draw
10-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-9.39,Meals
10-12-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-130,Owners Draw
10-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-29.18,Meals
10-12-21,Debit RCR Amazon Prime*272 Amzn.com/bil lW #4349,-14.06,Owners Draw
10-12-21,Debit RCR NETFLIX COM LOS GATOS C #4349,-19.2,Owners Draw
10-12-21,ACH CAPITAL ONE MOBILE PMT,-150,Owners Draw
10-12-21,Cash Roundup Transfer,-19.3,Miscellaneous Expenses
10-12-21,Check 2961,-1950.05,Paid Checks
10-12-21,Check 2967,-963,Paid Checks
10-13-21,Deposit,498.49,Business Income
10-13-21,Deposit,405,Business Income
10-13-21,Deposit,352.5,Business Income
10-13-21,ACH AUTO RENTALS INC ACH PAYMNT IV854763 4151280 000000000034218000000000034218000000000000000,342.18,Other Business Income
10-13-21,ACH Square Inc 211013 P2,354.72,Business Income
10-13-21,IB INTERNET TRANSFER FROM ACCOUNT *8069,50,Account Transfers
10-13-21,ATM Withdrawal 22953 BROWN SPRINGS THACKERVILLE O #4349,-304.99,Owners Draw
10-13-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-18.93,Business Supplies
10-13-21,Debit Card CANHELP SULPHUR SPRI NT #0759,-39.51,Business Supplies
10-13-21,Debit Card TACO BELL 009540 SULPHUR SPRI NT #0759,-6.46,Meals
10-13-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-27.81,COGS:Materials & Supplies
10-13-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-112.78,COGS:Materials & Supplies
10-13-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-59.88,COGS:Materials & Supplies
10-13-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-33.45,COGS:Materials & Supplies
10-13-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #4349,-9.2,Meals
10-13-21,Debit Card DOORDASH*MCDONAL SAN FRANCISC OC #4349,-16.76,Meals
10-13-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-6.26,Meals
10-13-21,Debit Card TST* CORNER GRUB SULPHUR SPRI NT #4349,-50,Meals
10-13-21,ACH ACUITY INS PREM,-1452.82,Business Insurance
10-13-21,ACH WEX INC FLEET DEBI,-148.13,Vehicle Expenses:Fuel
10-13-21,Cash Roundup Transfer,-3.96,Miscellaneous Expenses
10-13-21,Check 2962,-510,Paid Checks
10-13-21,Check 2963,-1000,Paid Checks
10-13-21,Check 2964,-700,Paid Checks
10-13-21,Check 2965,-300,Paid Checks
10-13-21,Check 2966,-1000,Paid Checks
10-14-21,Deposit,990,Business Income
10-14-21,Deposit,483.5,Business Income
10-14-21,Deposit,285,Business Income
10-14-21,Debit Card Rev NAPA SULPHUR SPR SULPHUR SPRI NT #4349,98.79,COGS:Materials & Supplies
10-14-21,Debit Card CTS 550 THACKERVILLE O #4349,-7.99,Business Supplies
10-14-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-39.7,Business Supplies
10-14-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.78,Business Supplies
10-14-21,Debit Card QT 993 TERRELL T #4349,-12.95,Vehicle Expenses:Fuel
10-14-21,Debit Card MAC TOOLS - GILM GILMER T #4349,-150,COGS:Materials & Supplies
10-14-21,Debit Card MAC TOOLS - GILM GILMER T #4349,-50,COGS:Materials & Supplies
10-14-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-20.48,COGS:Materials & Supplies
10-14-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-167.88,COGS:Materials & Supplies
10-14-21,Debit Card SONIC DRIVE IN # BELLS T #0759,-8.87,Meals
10-14-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-6.26,Meals
10-14-21,ACH CAPITAL ONE MOBILE PMT,-1000,Owners Draw
10-14-21,Cash Roundup Transfer,-2.09,Miscellaneous Expenses
10-15-21,ACH Square Inc 211015 P2,542.6,Business Income
10-15-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-11.15,Business Supplies
10-15-21,Debit Card WM SUPERCENTER # SULPHUR SPRI NT #0759,-147.41,Business Supplies
10-15-21,Debit Card CN GRANT FOOD & GRANT O #4349,-16,Meals
10-15-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-9.39,Meals
10-15-21,ACH AMEX EPAYMENT ACH PMT ER AM,-250,Business Insurance
10-15-21,Cash Roundup Transfer,-2.05,Miscellaneous Expenses
10-18-21,Deposit,12796,Business Income
10-18-21,ACH Square Inc 211018 P2,1648.35,Business Income
10-18-21,Debit Card STAR MART # 5 SULPHUR SPRI NT #4349,18.16,Business Income
10-18-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
10-18-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
10-18-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
10-18-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
10-18-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.78,Business Supplies
10-18-21,Debit Card CEFCO #1102 PARI PARIS T #4349,-31.47,Vehicle Expenses:Fuel
10-18-21,Debit Card EVI*CHOCTAW CASI GRANT O #4349,-1037.5,Owners Draw
10-18-21,Debit Card EVI*CHOCTAW CASI GRANT O #4349,-1037.5,Owners Draw
10-18-21,Debit Card NOYO INC SULPHUR SPRI NT #4349,-25.16,Business Supplies
10-18-21,Debit Card AUTOZONE 1187 B SULPHUR SPRI NT #4349,-169.93,COGS:Materials & Supplies
10-18-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-48.42,Vehicle Expenses:Fuel
10-18-21,Debit Card STAR MART # 5 SULPHUR SPRI NT #4349,-18.16,Vehicle Expenses:Fuel
10-18-21,Debit Card STAR MART # 5 SULPHUR SPRI NT #4349,-18.16,Vehicle Expenses:Fuel
10-18-21,Debit Card JOE BOBS SULPHUR SPRI NT #4349,-8.57,Vehicle Expenses:Fuel
10-18-21,Debit Card COLLEGE PAY AMARILLO T #4349,-1,Owners Draw
10-18-21,Debit Card COLLEGE PAY AMARILLO T #4349,-21,Owners Draw
10-18-21,Debit Card DOMINO'S 6838 972-722-2073 T #4349,-53,Meals
10-18-21,Debit Card Prime Video*2Y2H 888-802-3080 W #4349,-9.73,Owners Draw
10-18-21,Debit Card TACO BELL 009540 SULPHUR SPRI NT #0759,-18.15,Meals
10-18-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-212.55,COGS:Materials & Supplies
10-18-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #0759,-22.8,Meals
10-18-21,Debit Card JUAN PABLOS MEX SULPHUR SPRI NT #4349,-35.45,Meals
10-18-21,Debit Card CARNIVAL CRUISE MIAMI F #4349,-445.72,Owners Draw
10-18-21,Debit Card FLOWERLAND FLORI SULPHUR SPRI NT #4349,-83.89,Business Supplies
10-18-21,Debit Card JUAN PABLOS MEX SULPHUR SPRI NT #0759,-24.32,Meals
10-18-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-6.26,Meals
10-18-21,Debit Card SQ *NORTHCUTT DO PARIS T #0759,-6,Owners Draw
10-18-21,Debit Card DOORDASH*MCDONAL SAN FRANCISC OC #4349,-13.11,Meals
10-18-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-6.26,Meals
10-18-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-21.62,Financial Fees:Payment Processing
10-18-21,Debit Card PAYPAL *APPLE.CO San Jose C #4349,-2.99,Financial Fees:Payment Processing
10-18-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-6.26,Meals
10-18-21,Debit Card SQ *SULPHUR SPRI Sulphur Spri nT #0759,-113.66,Uncategorized
10-18-21,Debit RCR HLU*HULU 1339504 HULU.COM/BIL LC #4349,-96.31,Owners Draw
10-18-21,Debit RCR Peacock D83E1 Pr New York N #4349,-5.41,Owners Draw
10-18-21,Debit RCR Peacock 1B734 Pr New York N #4349,-5.4,Owners Draw
10-18-21,IB INTERNET TRANSFER TO ACCOUNT *0851,-350,Account Transfers
10-18-21,IB INTERNET TRANSFER TO ACCOUNT *9922,-450,Account Transfers
10-18-21,ACH AMEX EPAYMENT ACH PMT ER AM,-600,Business Insurance
10-18-21,ACH CAPITAL ONE MOBILE PMT,-250,Owners Draw
10-18-21,"Overdraft Charge 2968 1,847.55",-29,Financial Fees:Bank Charges
10-18-21,Cash Roundup Transfer,-14.46,Miscellaneous Expenses
10-18-21,Check 2968,-1847.55,Paid Checks
10-19-21,Deposit,17000,Business Income
10-19-21,ACH AUTO RENTALS INC ACH PAYMNT IV070895 4166678 000000000025279000000000025279000000000000000,607,Other Business Income
10-19-21,ACH Square Inc 211019 P2,1043.6,Business Income
10-19-21,Debit Card Rev NAPA SULPHUR SPR SULPHUR SPRI NT #4349,45.93,COGS:Materials & Supplies
10-19-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-14.06,Business Supplies
10-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-45.93,COGS:Materials & Supplies
10-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-36.06,COGS:Materials & Supplies
10-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-82.01,COGS:Materials & Supplies
10-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-12.1,COGS:Materials & Supplies
10-19-21,Debit Card DOORDASH*MCDONAL SAN FRANCISC OC #4349,-13.11,Meals
10-19-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-100,Owners Draw
10-19-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-200,Owners Draw
10-19-21,Debit Card SQ *NORTHCUTT DO PARIS T #0759,-6.88,Owners Draw
10-19-21,Debit Card GT TOOLS - MATCO 903-272-5787 T #4349,-25,COGS:Materials & Supplies
10-19-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-9.39,Meals
10-19-21,Debit RCR AT&T TEXT2PAY 8003310500 T #4349,-309.29,Utilities:Phone
10-19-21,ACH ATMOS ENERGY SGL UTIL PYMT,-56.62,Utilities:Gas
10-19-21,ACH OKLAHOMATAXPMTS OK TAX PMT,-380,Taxes and Licenses
10-19-21,ACH WEX INC FLEET DEBI,-148.13,Vehicle Expenses:Fuel
10-19-21,Cash Roundup Transfer,-6.17,Miscellaneous Expenses
10-19-21,Check 2248,-600,Paid Checks
10-19-21,Check 2969,-1140,Paid Checks
10-19-21,Check 2970,-3552,Paid Checks
10-19-21,Check 2971,-640,Paid Checks
10-19-21,Check 2972,-900,Paid Checks
10-20-21,ATM Withdrawal 1610 POSEY LANE SULPHUR SPRI NT #0759,-60,Owners Draw
10-20-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-355.78,Business Supplies
10-20-21,Debit Card WAL-MART #0417 SULPHUR SPRI NT #0759,-284.68,Business Supplies
10-20-21,Debit Card AMAZON.COM*2Y1E4 SEATTLE W #4349,-31.38,Business Supplies
10-20-21,Debit Card AMAZON.COM*2Y81Q SEATTLE W #4349,-179.68,Business Supplies
10-20-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-6.26,Meals
10-20-21,Debit RCR PAYPAL *SPLENDIE 4029357733 C #4349,-18.38,Financial Fees:Payment Processing
10-20-21,Debit RCR CARROLL TIRE 877-822-0009 F #4349,-1276.45,COGS:Materials & Supplies
10-20-21,ACH LOANCARE SERV MTG PYMT,-524.73,Owners Draw
10-20-21,Cash Roundup Transfer,-3.39,Miscellaneous Expenses
10-20-21,Check 2974,-500,Paid Checks
10-21-21,ATM Withdrawal 919 GILMER ST SULPHUR SPRI NT #0759,-80,Owners Draw
10-21-21,Debit Card MHC-KW-TEXARKANA TEXARKANA T #4349,-185.9,Business Supplies
10-21-21,Debit Card TEXARKANA SUPER TEXARKANA T #4349,-114.96,Business Supplies
10-21-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #0759,-27,Business Supplies
10-21-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-8.84,Vehicle Expenses:Fuel
10-21-21,Debit Card MAC TOOLS - GILM GILMER T #4349,-150,COGS:Materials & Supplies
10-21-21,Debit Card MAC TOOLS - GILM GILMER T #4349,-100,COGS:Materials & Supplies
10-21-21,Debit Card PAWN SHOP SULPHUR SPRI NT #4349,-121.67,Owners Draw
10-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-173.24,COGS:Materials & Supplies
10-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-122.17,COGS:Materials & Supplies
10-21-21,Debit Card JUAN PABLOS MEX SULPHUR SPRI NT #4349,-74.8,Meals
10-21-21,Debit Card HARBOR FREIGHT T SULPHUR SPRI NT #4349,-64.87,COGS:Materials & Supplies
10-21-21,Debit Card CITY OF SULPHUR SULPHUR SPRI NT #4349,-246.57,Utilities:Water
10-21-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-6.26,Meals
10-21-21,Debit RCR VZWRLSS*BILL PAY 800-922-0204 F #4349,-159.57,Utilities:Phone
10-21-21,Withdrawal,-300,Owners Draw
10-21-21,ACH AMEX EPAYMENT ACH PMT ER AM,-635.71,Business Insurance
10-21-21,ACH AMEX EPAYMENT ACH PMT ER AM,-150,Business Insurance
10-21-21,ACH Synchrony Bank CC PYMT,-150,Owners Draw
10-21-21,ACH WEBFILE TAX PYMT DD,-296.5,Taxes and Licenses
10-21-21,Cash Roundup Transfer,-4.15,Miscellaneous Expenses
